Time,Zone ID/Drone ID,Event type,Severity
0:00:32,3,FIRE_DETECTED,Low
0:00:45,1,FIRE_DETECTED,High
0:00:56,2,DRONE_REQUESTED,Moderate
0:00:56,4,FIRE_DETECTED,Low
0:00:57,1,DRONE_REQUESTED,Moderate
0:01:33,2,FIRE_DETECTED,Low
0:01:42,1,FIRE_DETECTED,High
0:01:45,2,DRONE_REQUESTED,Moderate
0:01:45,4,FIRE_DETECTED,Low
0:02:46,1,DRONE_REQUESTED,Moderate
0:02:59,3,FIRE_DETECTED,Low
0:03:24,1,FIRE_DETECTED,High
0:03:25,2,DRONE_REQUESTED,Moderate
0:03:56,4,FIRE_DETECTED,Low
0:04:03,1,DRONE_REQUESTED,Moderate
